Point,relevancy
平衡问题中的几种常见的临界与极值,0.638387
匀变速直线运动的速度与位移的关系,0.635368
速度、速度变化与加速度的关系,0.635362
匀变速直线运动的位移与时间的关系,0.570254
实验：探究加速度与力、质量的关系,0.563919
加速度的分析与计算,0.555488
线速度与角速度的关系,0.550102
初速度为零的匀加速直线运动的规律,0.536685
重力的概念、大小和方向,0.534862
匀变速运动中x-t图象与v-t图象,0.528366
实验：探究弹力和弹簧伸长量的关系,0.52539
实验：用现代技术测量加速度,0.519175
匀变速直线运动的速度与时间的关系,0.51765
能量的分类和相互转化,0.500864
匀变速运动中的平均速度,0.498941
实验：探究功与物体速度变化的关系,0.491938
实验：验证力的平行四边形定则,0.485859
角速度与转速,0.483979
用频闪相机研究平抛运动,0.481328
圆周运动的定义和描述,0.475271
匀变速直线运动的定义与特征,0.47099
加速度的定义,0.459603
研究合运动与分运动,0.446102
常用仪器的使用与读数,0.443994
平抛运动的研究方法,0.442892
自然界的四种基本相互作用,0.442552
用万有引力定律解释重力加速度,0.437819
实验：测定匀变速直线运动的加速度,0.431729
匀变速运动的a-t图象,0.429784
平均速度与瞬时速度,0.428931
利用现代方法验证动量守恒定律,0.428656
能源的分类和利用、能量耗散,0.427654
几种常见力做功的特点,0.427018
实验：研究平抛物体的运动,0.425252
速率与速度,0.42277
功的概念和计算,0.417805
综合利用牛顿三定律解决问题,0.416225
利用能量守恒解决实际问题,0.410612
平抛运动的推论,0.409014
平抛运动的计算,0.406697
用现代方法验证动能定理,0.406324
开普勒第二定律,0.390218
完全非弹性碰撞,0.387251
万有引力理论的成就,0.382152
惯性与质量,0.378183
动量定理的表述及应用,0.378056
变力做功的常见解法,0.377051
能量守恒定律的内容表述,0.376097
非完全弹性碰撞问题,0.374688
路程与位移,0.373845
匀变速运动的v-t图象,0.3737
斜牵引运动,0.365514
开普勒第三定律,0.365301
同步卫星与近地卫星,0.363312
动量守恒定律解决多过程问题,0.358286
牛顿第三定律的理解与应用,0.357426
追及与相遇问题,0.35339
开普勒第一定律,0.346163
万有引力定律的发现,0.317928
引力势能及其应用,0.304249
实验：验证动量守恒定律,0.304125
误差和有效数字,0.289331
非匀变速直线运动,0.285195
水平方向的圆周运动,0.284034
牛顿定律与直线运动,0.2806
实验：验证机械能守恒定律,0.278323
动能定理的综合应用,0.27537
机械运动的概念,0.275191
竖直方向的圆周运动,0.271834
功率及其计算,0.269814
胡克定律,0.26921
离心运动,0.263461
机械能守恒定律及其条件,0.25642
标量与矢量,0.255389
重力的作用点：重心,0.250883
曲线运动的概念,0.246968
受力分析,0.243167
功能关系,0.237372
力的概念,0.236055
曲线运动的条件,0.229405
伽利略的理想斜面实验,0.229138
一般人造卫星,0.212918
小船渡河问题,0.21038
连接体模型,0.208681
反冲问题,0.206928
动量守恒定律的内容,0.203566
时间与时刻,0.200842
基本单位,0.198988
伽利略对自由落体运动的探究,0.198686
地心说与日心说,0.19801
运动的分解,0.197713
完全弹性碰撞,0.189374
第一宇宙速度,0.187333
第二宇宙速度,0.18614
线速度,0.182601
超重与失重,0.177087
运动的合成,0.169778
爆炸问题,0.161336
导出单位,0.16092
刹车问题,0.155052
斜抛运动,0.152723
弹性势能,0.152363
牛顿第一定律,0.142521
弹力,0.141889
力的合成,0.138374
向心加速度,0.137635
滑动摩擦力,0.134299
冲量,0.130884
静摩擦力,0.129166
传送带模型,0.126624
机车启动,0.119513
实验：探究动能定理,0.113119
竖直上抛运动,0.0997289
动能定理,0.0835466
碰撞,0.0742213
第三宇宙速度,0.0662789
双星（多星）问题,0.0656999
斜面模型,0.0614841
机械能守恒定律的应用,0.0542964
力的分解,0.0155902
向心力,0.0121249
动量,0.00322633
质点,0
参考系,0
坐标系,0
自由落体运动,0
牛顿第二定律,0
板块模型,0
动能,0
重力势能,0
机械能,0
